timestamp,name,raw_text_vosk,text,time_taken_sec,has_question_mark,num_words_in_text
2026-05-10T12:58:58.269514,Gary Murphy,the rats everyone thanks for joining let's look at our growth strategy for the mobile app,"Hello everyone, thanks for joining. Let's look at our growth strategy for the mobile app.",9.33,False,15
2026-05-10T12:59:12.495072,Carys Willliams,i've been tracking use a sign ups and while they're up the conversion from free to pay is low,"I've been tracking user sign-ups, and while they're up, the conversion from free to pay is low.",8.26,False,17
2026-05-10T12:59:27.960636,William McKenna,i think the onboarding flow is the bottle neck is currently taking users too long to find the valley,I think the onboarding flow is the bottleneck; it's currently taking users too long to find the value.,10.07,False,18
2026-05-10T12:59:42.621233,Gary Murphy,that's a fair points caris what does the pricing feedback look like from those early users,"That's a fair point, Caris. What does the pricing feedback look like from those early users?",8,True,16
2026-05-10T12:59:55.925393,Carys Williams,they love the features but find the enterprise steep i'm thinking about the student discount to,"They love the features but find the enterprise steep. I'm thinking about a student discount, too.",8.31,False,16
2026-05-10T13:00:12.457465,Mei Len Vorkel,if we are the students to would need to update the a poi to verify academic email addresses,"If we offer a student discount, we would need to update the API to verify academic email addresses.",7.78,False,18
2026-05-10T13:00:30.643261,Samuel Weldemariam,and from a marketing perspective we'd need to targets university is directly on social media,"And from a marketing perspective, we'd need to target universities directly on social media.",9.63,False,14
2026-05-10T13:00:44.198663,William McKenna,before we go that far can we fix the logan bug it still crashing for some android users,"Before we go that far, can we fix the login bug? It's still crashing for some Android users.",9.38,True,18
2026-05-10T13:01:00.883263,Mei Len Vorkel,i have a packs ready for that but we need to run a full penetration test on the new build first,"I have a patch ready for that, but we need to run a full penetration test on the new build first.",8.3,False,21
2026-05-10T13:01:15.176884,Toby Lock,of allocated budget for the security audit but we need to decide if we're hiring more developers,"I've allocated budget for the security audit, but we need to decide if we're hiring more developers.",9.24,False,17
2026-05-10T13:01:31.043339,Gary Murphy,the growth is our priority if the tech death to slowing us down we hire madeleine what's your take,"The growth is our priority. If the tech debt is slowing us down, we hire. Madeleine, what's your take?",8.48,True,19
2026-05-10T13:01:44.795188,Mei Len Vorkel,we definitely need of back and specialist if we plan on horizontal scaling by careful,We definitely need a backend specialist if we plan on horizontal scaling. But be careful.,8.33,False,15
2026-05-10T13:02:07.814951,Samuel Weldemariam,if we hire know i can start building the brand story around on new speed and security focus,"If we hire now, I can start building the brand story around our new speed and security focus.",8.96,False,18
2026-05-10T13:02:20.948880,Carys Williams,wait if we change the messaging without affects our current asio rankings for meeting analytics,"Wait, if we change the messaging, won't that affect our current SEO rankings for meeting analytics?",8.51,True,16
2026-05-10T13:02:39.840565,Samuel Weldemariam,the higher now i can see it shouldn't as long as we keep the core keywords in meta descriptions of blocks,"It's not higher now; it shouldn't affect us, as long as we keep the core keywords in meta descriptions and on blocks.",11.16,False,22
2026-05-10T13:03:00.118208,William McKenna,i'm more worried about the you i should the dashboard show analytics first or the reordering list,I'm more worried about the UI. Should the dashboard show analytics first or the reordering list?,10.69,True,16
2026-05-10T13:03:18.164959,Gary Murphy,that's good with analytics first that's a unique selling points compared to the other competitors,That's good. Analytics first. That's a unique selling point compared to the other competitors.,8.99,False,14
2026-05-10T13:03:30.579461,Toby Lock,regarding the office the lease is up for renew should we stay remotes or get a hub,"Regarding the office, the lease is up for renewal. Should we stay remote or get a hub?",8.5,True,17
2026-05-10T13:03:49.315964,Carys Williams,actually most of the south team prefers a hybrid model it helps with the clock goes,"Actually, most of the sales team prefers a hybrid model. It helps with the close.",9.78,False,15
2026-05-10T13:04:08.573898,William McKenna,i'm happy as long as i don't have to commute every day the current setup works but design,"I'm happy as long as I don't have to commute every day. The current setup works, but it's not ideal.",9.08,False,20
2026-05-10T13:04:21.240777,Gary Murphy,let's look into a smaller hub toby can you get us some quotes by our next meeting,"Let's look into a smaller hub. Toby, can you get us some quotes by our next meeting?",7.92,True,17
2026-05-10T13:04:35.063176,Toby Lock,will do i'll also update the budget for the new a p i chose mainland mentioned earlier,Will do. I'll also update the budget for the new API choice Madeleine mentioned earlier.,8.31,False,15
2026-05-10T13:04:46.941889,Mei Len Vorkel,thanks i'll start the documentation for the database migration tonight,Thanks. I'll start the documentation for the database migration tonight.,6.64,False,10
2026-05-10T13:05:01.412761,Samuel Weldemariam,ocado coordinates with caris on the price and copies for the new student landing page,"Okay, I'll coordinate with Caris on the pricing and copies for the new student landing page.",7.93,False,16
2026-05-10T13:05:21.085562,Gary Murphy,accidents does anyone have any other blockers before we wrap up for the day,Excellent. Does anyone have any other blockers before we wrap up for the day?,9.68,True,14
2026-05-10T13:05:35.972657,William McKenna,just a reminder that the new mockups are in the shed photos for everyone to reviews,Just a reminder that the new mockups are in the shared folder for everyone to review.,7.54,False,16
2026-05-10T13:05:47.898204,Mei Len Vorkel,got it a check respects to make sure the load time stay on the two seconds,Got it. I'll check speed tests to make sure the load times stay under two seconds.,7.25,False,16
2026-05-10T13:05:58.550293,Carys Williams,i'll send the updated sales forecast to to be after this cool,I'll send the updated sales forecast to Toby after this call.,6.47,False,11
2026-05-10T13:06:11.071757,Toby Lock,perfect i'll have the final finance with summary ready for all hands on june thirteenth,Perfect. I'll have the final financial summary ready for all hands on June thirteenth.,8.38,False,14
2026-05-10T13:06:23.733971,Gary Murphy,great work to the team let's executes on these items admit again next week meeting adjourned,"Great work, team. Let's execute on these items. Meet again next week. Meeting adjourned.",8.49,False,14
